PCA_1,PCA_2,PCA_3,SubjectID,Rank,UpdateDT,RankChange
284.73232532771664,-21.743645811122263,3.6566130222981386,513,60,2022-09-08 15:13:00,-40.0
313.0637968737984,-61.91475125024843,-4.442675224708664,513,60,2022-10-07 18:20:00,0.0
316.87534740757155,-61.81175826706318,-28.742967689859498,513,80,2022-10-13 08:42:00,20.0
317.0519357984724,-2.341159978515236,-33.653639360247965,514,160,2022-10-13 08:42:00,40.0
-206.26226120470446,1.7852733443674254,-5.087836651931722,515,169,2021-05-06 14:13:00,49.0
-196.6349765810822,50.628986767575995,-1.349491237141768,515,173,2021-05-15 21:41:00,4.0
-188.78190215807098,54.58335161752787,-6.498439565510671,515,168,2021-05-24 10:53:00,-5.0
-179.43777412753684,49.50085717815885,3.192842397139092,515,178,2021-06-02 13:51:00,10.0
-167.4700561939264,59.39557224625726,-0.07261829235372019,515,189,2021-06-13 22:57:00,11.0
-159.6696002592025,70.43503693646385,-6.572196070622411,515,183,2021-06-22 11:35:00,-6.0
-149.3748922086039,64.3292445021397,2.3708580564860746,515,184,2021-07-01 16:34:00,1.0
-138.4907959205745,65.2705679595967,-1.339305865017412,515,175,2021-07-13 10:53:00,-9.0
-130.84796619315662,56.13063332867914,-8.4501630898198,515,176,2021-07-20 21:38:00,1.0
-113.23946354101112,57.045790401330706,5.072819060776737,515,148,2021-08-06 16:31:00,-28.0
-103.88759397133535,28.95149377255329,-5.925430106992373,515,142,2021-08-17 11:33:00,-6.0
-79.23932888985308,22.752753108602164,7.712592896925116,515,145,2021-09-09 21:22:00,3.0
-52.06430572671201,25.582716584784706,10.498970484708508,515,154,2021-10-06 21:07:00,9.0
-37.79799974775236,34.494315526165636,-7.535789195158172,515,137,2021-10-21 14:41:00,-17.0
-16.340158633069365,17.273484239895723,2.3831531497127045,515,198,2021-11-11 20:22:00,61.0
8.26656245339558,78.26203928281201,6.265380312781961,515,192,2021-12-06 10:47:00,-6.0
29.69295808782408,72.07611749029137,-6.886239775509512,515,199,2021-12-28 09:44:00,7.0
67.75940763418146,78.77638574717129,16.434798188722187,515,187,2022-02-02 17:20:00,-12.0
95.19872712571168,66.5076432786794,7.166414400410794,515,184,2022-03-03 08:29:00,-3.0
128.32863375208098,63.41220522471481,8.997769550153322,515,159,2022-04-05 07:57:00,-25.0
157.95439439690114,38.06141835007192,4.68927803242525,515,144,2022-05-04 22:07:00,-15.0
186.87428675286878,22.93354053787364,3.7757607776760658,515,144,2022-06-03 07:46:00,0.0
219.92108578899973,22.69993962406447,4.85890622704315,515,124,2022-07-06 09:11:00,-20.0
246.59487873977082,2.628802742438566,-0.3126338587543547,515,133,2022-08-02 11:02:00,9.0
284.9383087718435,11.24197527225921,4.300400252801371,515,120,2022-09-08 15:13:00,-13.0
313.465962546631,-1.9611060474880446,-3.8557722578459632,515,120,2022-10-07 18:20:00,0.0
317.33848796363884,-1.9875848431037184,-28.542830161219655,515,120,2022-10-13 08:42:00,0.0
-206.27628642575013,2.104172061189786,-4.9468161939616255,516,191,2021-05-06 14:13:00,71.0
-196.48048884043556,72.810503850769,-1.1685570891358097,516,170,2021-05-15 21:41:00,-21.0
-188.8331070348273,51.84679439131095,-6.1993528300201035,516,126,2021-05-24 10:53:00,-44.0
-179.75907098799738,7.792083100776765,3.4793772258205564,516,199,2021-06-02 13:51:00,73.0
-167.28644711002872,80.42545356275376,-0.05083098947809361,516,198,2021-06-13 22:57:00,-1.0
-159.62249053088493,79.60429435219974,-7.070189735791905,516,196,2021-06-22 11:35:00,-2.0
-149.25446691817012,77.22892717693118,1.89655534481237,516,198,2021-07-01 16:34:00,2.0
-138.38785193332566,79.22883453104215,-1.4891077994655095,516,158,2021-07-13 10:53:00,-40.0
-130.9849617354809,39.154727048519376,-8.347604654463535,516,149,2021-07-20 21:38:00,-9.0
-113.43008854186554,30.27336800852588,4.3486859775907725,516,116,2021-08-06 16:31:00,-33.0
-104.12541258257056,-2.8161008565123353,-5.902392979957492,516,144,2021-08-17 11:33:00,28.0
-79.25098479082382,24.937585210830022,8.161693062151581,516,145,2021-09-09 21:22:00,1.0
-52.09516355701032,25.815041485194016,10.626433793738261,516,69,2021-10-06 21:07:00,-76.0
-38.41227649447231,-50.360675507001886,-7.211374932990278,516,115,2021-10-21 14:41:00,46.0
-16.589354436270497,-4.3455160451311485,2.181700895466072,516,141,2021-11-11 20:22:00,26.0
7.786819453174701,21.46074898121931,5.983384698712754,516,137,2021-12-06 10:47:00,-4.0
29.22010870626795,17.109020601803834,-7.158503938833979,516,133,2021-12-28 09:44:00,-4.0
67.1955104626291,12.79631512554785,16.191236556750656,516,136,2022-02-02 17:20:00,3.0
94.82402970521474,15.725338128107964,7.31709776038123,516,144,2022-03-03 08:29:00,8.0
127.97440963199472,23.549376108297295,8.24504277870659,516,153,2022-04-05 07:57:00,9.0
158.0092377255201,32.395709300532886,5.021556928233899,516,208,2022-05-04 22:07:00,55.0
187.34648155438697,86.98576212947354,3.782526630042529,516,201,2022-06-03 07:46:00,-7.0
220.33842416209404,79.9131069082231,4.49822148111117,516,178,2022-07-06 09:11:00,-23.0
247.06178163913677,56.453209240052516,-0.24421971547635124,516,201,2022-08-02 11:02:00,23.0
285.55013617185284,79.4548034681287,4.057629439103522,516,211,2022-09-08 15:13:00,10.0
314.24490814146407,89.22448343525981,-4.147000036867237,516,211,2022-10-07 18:20:00,0.0
318.03861355057995,89.06981111647299,-28.705993532035528,516,209,2022-10-13 08:42:00,-2.0
-206.22600109926472,1.6145306014170444,-6.185701064716895,517,1,2021-05-06 14:13:00,-119.0
-197.826843435283,-117.25915732658646,-2.0312290075579096,517,1,2021-05-15 21:41:00,0.0
-190.0361594663817,-117.33707769398572,-7.070872847371666,517,185,2021-05-24 10:53:00,184.0
-179.30854649373669,66.35184442938201,2.1908040314038466,517,3,2021-06-02 13:51:00,-182.0
-168.73362639134663,-115.48857115736186,-0.8084844496237711,517,3,2021-06-13 22:57:00,0.0
-161.03796184486413,-115.57095750173612,-7.6211184216203325,517,2,2021-06-22 11:35:00,-1.0
-150.68266446220932,-116.54408853223389,1.7995372801246,517,2,2021-07-01 16:34:00,0.0
-139.79371448976167,-116.88800864010577,-2.1975831662517855,517,8,2021-07-13 10:53:00,6.0
-132.08904275194942,-110.74946139427398,-9.07104589545014,517,186,2021-07-20 21:38:00,178.0
-113.20928090419358,66.8524167060218,3.722155334945544,517,179,2021-08-06 16:31:00,-7.0
-103.64180059133535,59.71278572192391,-6.915738290902427,517,181,2021-08-17 11:33:00,2.0
-78.95802295823853,61.5387925074608,6.854057020604646,517,5,2021-09-09 21:22:00,-176.0
-53.09126995574911,-114.30992968267056,9.928607885389045,517,67,2021-10-06 21:07:00,62.0
-38.44879714514937,-52.49574720522895,-7.920218488625485,517,176,2021-10-21 14:41:00,109.0
-16.177494104120882,56.425824853100195,1.6052544183849946,517,186,2021-11-11 20:22:00,10.0
8.124958734970505,65.90008186693238,5.436902492773839,517,19,2021-12-06 10:47:00,-167.0
28.38037104182243,-101.13011329587597,-7.64915580920127,517,38,2021-12-28 09:44:00,19.0
66.57876041066123,-82.2238407122186,15.858934198227136,517,23,2022-02-02 17:20:00,-15.0
94.06578604572172,-97.57507746564596,7.27378515655926,517,14,2022-03-03 08:29:00,-9.0
127.16623321512867,-106.81755868330605,8.511109744024814,517,181,2022-04-05 07:57:00,167.0
158.1720311395245,59.87165126797173,4.241517270630677,517,174,2022-05-04 22:07:00,-7.0
187.10814107712042,52.66737116450581,4.163493786239503,517,37,2022-06-03 07:46:00,-137.0
219.25556798224835,-84.5790648653452,4.300427294970898,517,17,2022-07-06 09:11:00,-20.0
245.89233835713145,-104.61851597559314,-0.5048215464525452,517,24,2022-08-02 11:02:00,7.0
